PublishedLineName,DirectionRef,OriginName,OriginLat,OriginLong,DestinationName,DestinationLat,DestinationLong,StopPoints,StopPointCount
Bx15,0,ST CLAIRE PL/W 125 ST,40.817066,-73.959778,FORDHAM PLZ via 3 AV,40.860989,-73.890266,"['3 AV/E 152 ST', '3 AV/E 163 ST', 'WILLIS AV/E 138 ST', 'E 125 ST/5 AV', 'E 125 ST/2 AV', '3 AV/E 157 ST', '3 AV/E 180 ST', '3 AV/E TREMONT AV', 'W 125 ST/AMSTERDAM AV', '3 AV/E 158 ST', 'W 125 ST/ADAM C POWELL BL', 'E 125 ST/MADISON AV', 'WILLIS AV/E 146 ST', '3 AV/E 189 ST', 'E 125 ST/1 AV', 'W 125 ST/OLD BROADWAY', 'E 125 ST/3 AV', 'W 125 ST/FRED DOUGLASS BL', 'WILLIS AV/E 142 ST', '3 AV/ST PAULS PL', 'W 125 ST/ST NICHOLAS AV', 'ST CLAIRE PL/W 125 ST', '3 AV/E 184 ST', 'E 125 ST/LEXINGTON AV', 'WILLIS AV/E 144 ST', 'W 125 ST/MORNINGSIDE AV', 'E 125 ST/PARK AV', '3 AV/E 153 ST', '3 AV/WESTCHESTER AV', '3 AV/E 169 ST', '3 AV/E 175 ST', '3 AV/CLAREMONT PY', '3 AV/E 168 ST', '3 AV/E 187 ST', '3 AV/E 188 ST', '3 AV/E FORDHAM RD', '3 AV/E 166 ST', 'WILLIS AV/E 140 ST', '3 AV/E 161 ST', '3 AV/E 174 ST', 'W 125 ST/MALCOLM X  BL', '3 AV/E 172 ST']",42
Bx15,1,3 AV/E FORDHAM RD,40.861012,-73.89045,W. HARLEM 12 AV via 3 AV via 125 ST,40.817913,-73.960167,"['3 AV/E 163 ST', 'E 125 ST/2 AV', 'WILLIS AV/E 138 ST', '3 AV/E 180 ST', '3 AV/E TREMONT AV', 'W 125 ST/AMSTERDAM AV', 'W 125 ST/ST CLAIRE PL', '3 AV/E 158 ST', 'W 125 ST/ADAM C POWELL BL', 'W 125 ST/BROADWAY', 'W 125 ST/MALCOLM X BL', '3 AV/CROSS BRONX EP', 'E 125 ST/MADISON AV', 'LINCOLN AV/BRUCKNER Bl', 'WILLIS AV/E 146 ST', 'E 138 ST/ALEXANDER AV', 'W 125 ST/OLD BROADWAY', 'W 125 ST/5 AV', 'E 125 ST/3 AV', 'W 125 ST/FRED DOUGLASS BL', 'WILLIS AV/E 142 ST', '3 AV/ST PAULS PL', 'W 125 ST/ST NICHOLAS AV', 'ST CLAIRE PL/W 125 ST', 'E 125 ST/LEXINGTON AV', 'WILLIS AV/E 144 ST', 'WILLIS AV/E 141 ST', 'W 125 ST/MORNINGSIDE AV', 'E 125 ST/PARK AV', '3 AV/E 174 ST', '3 AV/WESTCHESTER AV', '3 AV/E 154 ST', '3 AV/E 169 ST', '3 AV/E 150 ST', '3 AV/CLAREMONT PY', '2 AV/E 126 ST', 'WILLIS AV/E 148 ST', '3 AV/E 168 ST', '3 AV/E 156 ST', '3 AV/E 188 ST', '3 AV/E 183 ST', '3 AV/WASHINGTON AV', '3 AV/E 166 ST', '3 AV/E FORDHAM RD', 'E 138 ST/3 AV', 'LINCOLN AV/E 136 ST', '3 AV/E 161 ST', 'W 125 ST/12 AV', 'E 128 ST/3 AV', '3 AV/E 172 ST']",50
Bx16,0,E 206 ST/ROCHAMBEAU AV,40.874931,-73.880798,PELHAM ROPES AV via MUNDY LA,40.889843,-73.819519,"['E 233 ST/KEPLER AV', 'HOLLERS AV/ROPES AV', 'E 233 ST/ONEIDA AV', 'WEBSTER AV/E 235 ST', 'NEREID AV/MUNDY LA', 'BAINBRIDGE AV/E 210 ST', 'DYRE AV/BOSTON RD', 'E 233 ST/NAPIER AV', 'E 233 ST/KATONAH AV', 'E 206 ST/ROCHAMBEAU AV', 'E 233 ST/BAYCHESTER AV', 'E 233 ST/SETON AV', 'NEREID AV/EDSON AV', 'NEREID AV/BRUNER AV', 'BAINBRIDGE AV/JEROME AV', 'DYRE AV/LIGHT ST', 'NEREID AV/CARPENTER AV', 'MUNDY LA/PITMAN AV', 'E 233 ST/MURDOCK AV', 'ROPES AV/BOSTON RD', 'WEBSTER AV/E 233 ST', 'BAYCHESTER AV/STRANG AV', 'NEREID AV/WHITE PLAINS RD', 'E 233 ST/VAN CORTLANDT PK E', 'BAINBRIDGE AV/E 212 ST', 'WEBSTER AV/NEREID AV', 'E 233 ST/SECOR AV', 'E 233 ST/JEROME AV', 'VAN CORTLANDT AV E/ROCHAMBEAU AV', 'E MOSHOLU PY N/VAN CORTLANDT AV E', 'MC OWEN AV/BOSTON RD', 'BAINBRIDGE AV/RESERVOIR OVAL E', 'NEREID AV/MURDOCK AV', 'BAYCHESTER AV/PITMAN AV', 'BAYCHESTER AV/EDENWALD AV', 'NEREID AV/BYRON AV', 'PITMAN AV/MURDOCK AV', 'BOSTON RD/CONNER ST']",38
Bx16,1,ROPES AV/BOSTON RD,40.889969,-73.819649,NORWOOD 205 ST STA via MUNDY LA,40.875061,-73.879547,"['BAINBRIDGE AV/VAN CORTLANDT AV E', 'E 233 ST/KEPLER AV', 'E 233 ST/ONEIDA AV', 'WEBSTER AV/E 235 ST', 'WEBSTER AV/E 240 ST', 'BAINBRIDGE AV/E 210 ST', 'SANFORD BL/S 11 AV', 'DYRE AV/BOSTON RD', 'BAINBRIDGE AV/E 206 ST', 'BAYCHESTER AV/CRAWFORD AV', 'E 233 ST/NAPIER AV', 'E 233 ST/HARPER AV', 'E 233 ST/KATONAH AV', 'JEROME AV/E 233 ST', 'E 206 ST/ROCHAMBEAU AV', 'E 233 ST/SETON AV', 'NEREID AV/MONTICELLO AV', 'NEREID AV/BAYCHESTER AV', 'BOSTON RD/ROPES AV', 'NEREID AV/BRUNER AV', 'BOSTON RD/PROVOST AV', 'BAINBRIDGE AV/JEROME AV', 'DYRE AV/LIGHT ST', 'NEREID AV/CARPENTER AV', 'E 233 ST/MURDOCK AV', 'NEREID AV/SETON AV', 'ROPES AV/BOSTON RD', 'WEBSTER AV/E 233 ST', 'NEREID AV/WHITE PLAINS RD', 'BAINBRIDGE AV/E 212 ST', 'BAINBRIDGE AV/E GUN HILL RD', 'PITMAN AV/HILL AV', 'E 233 ST/DYRE AV', 'BAYCHESTER AV/E 233 ST', 'BAYCHESTER AV/PITMAN AV', 'NEREID AV/MURDOCK AV', 'BAYCHESTER AV/EDENWALD AV', 'NEREID AV/BYRON AV', 'MUNDY LA / MUNDY LA', 'E 229 ST/NEEDHAM AV']",40
Bx17,0,E 135 ST/ST ANN'S AV,40.804901,-73.918678,FORDHAM PLZ,40.860062,-73.890976,"['FORDHAM PLAZA/BUS TERMINAL', 'PROSPECT AV/E 163 ST', 'PROSPECT AV/E 166 ST', 'E FORDHAM RD/HOFFMAN ST', 'PROSPECT AV/RITTER PL', 'E FORDHAM RD/CAMBERLENG AV', 'E 149 ST/WALES AV', 'E 149 ST/TRINITY AV', 'PROSPECT AV/HOME ST', 'E 149 ST/JACKSON AV', 'E FORDHAM RD/BATHGATE AV', 'PROSPECT AV/E 156 ST', 'CROTONA AV/E TREMONT AV', 'PROSPECT AV/WESTCHESTER AV', 'CROTONA AV/E FORDHAM RD', ""E 135 ST/ST ANN'S AV"", ""ST. ANN'S AV/E 140 ST"", 'PROSPECT AV/KELLY ST', 'CROTONA AV/E 179 ST', 'CROTONA AV/E 183 ST', 'CROTONA AV/CLAREMONT PY', ""ST. ANN'S AV/ST. MARY'S ST"", 'PROSPECT AV/E 149 ST', 'CROTONA AV/CROTONA PK BLDG', 'PROSPECT AV/BOSTON RD', 'CROTONA AV/E 175 ST', 'CROTONA AV/E 176 ST', ""ST. ANN'S AV/E 138 ST"", 'PROSPECT AV/E 165 ST', ""ST. ANN'S AV/E 146 ST"", ""E 149 ST/ST ANN'S AV"", 'CROTONA AV/E 180 ST', 'CROTONA AV/E 187 ST', 'CROTONA AV/TREMONT AV', 'PROSPECT AV/E 169 ST', 'CROTONA AV/E 182 ST']",36
Bx17,1,FORDHAM PLAZA/BUS TERMINAL,40.860229,-73.890968,PT MORRIS 135 ST,40.804848,-73.918556,"['FORDHAM PLAZA/BUS TERMINAL', ""ST. ANN'S AV/E 149 ST"", 'PROSPECT AV/E 163 ST', 'PROSPECT AV/E 166 ST', 'PROSPECT AV/RITTER PL', 'E FORDHAM RD/HOFFMAN ST', 'E 138 ST/JACKSON AV', 'E 149 ST/TRINITY AV', 'PROSPECT AV/HOME ST', 'E FORDHAM RD/BATHGATE AV', 'PROSPECT AV/E 156 ST', 'E 138 ST/CYPRESS AV', 'CROTONA AV/E TREMONT AV', 'PROSPECT AV/WESTCHESTER AV', 'CROTONA PK/CROTONA PK BLDG', 'PROSPECT AV/E 152 ST', ""E 135 ST/ST ANN'S AV"", 'CROTONA AV/E 179 ST', 'E 149 ST/CONCORD AV', 'E 135 ST/CYPRESS AV', 'CROTONA AV/E 183 ST', 'E 138 ST/ST ANNS AV', 'CROTONA AV/CLAREMONT PY', 'E FORDHAM RD/CAMBRELENG AV', 'PROSPECT AV/E 149 ST', ""ST. ANN'S AV/E 141 ST"", 'E 149 ST/PROSPECT AV', 'PROSPECT AV/BOSTON RD', 'CROTONA AV/E 175 ST', 'CROTONA AV/E 176 ST', ""ST. ANN'S AV/E 143 ST"", 'PROSPECT AV/E 165 ST', ""ST. ANN'S AV/E 146 ST"", 'CROTONA AV/E 180 ST', 'CROTONA AV/E 187 ST', 'CROTONA AV/TREMONT AV', 'E 149 ST/TINTON AV', 'PROSPECT AV/E 169 ST', 'CROTONA AV/E 182 ST', 'CROTONA AV/E 189 ST']",40
Bx18,0,SEDGWICK AV/HARLEM RIVER BRIDGE,40.85202,-73.920662,170 ST CONCRSE,40.838512,-73.913582,"['MACOMBS RD/GOBLE PL', 'UNIVERSITY AV/W TREMONT AV', 'SEDGWICK AV/HARLEM RIVER BRIDGE', 'MACOMBS RD/INWOOD AV', 'UNIVERSITY AV/W 176 ST', 'SEDGWICK AV/W TREMONT AV', 'E 170 ST/GRAND CONCOURSE', 'W 170 ST/JEROME AV', 'MACOMBS RD/NELSON AV', 'E 170 ST/WALTON AV', 'MACOMBS RD/FEATHERBED LA', 'UNIVERSITY AV/ W 176 ST', 'W TREMONT AV/MONTGOMERY AV']",13
Bx18,1,UNDERCLIFF AV/W 176 ST,40.849815,-73.921532,RIVER PARK TOWER,40.851994,-73.920738,"['SEDGWICK AV/W 172 ST', 'MACOMBS RD/GOBLE PL', 'UNDERCLIFF AV/BOSCOBEL PL', 'SEDGWICK AV/W 176 ST', 'INWOOD AV/MACOMBS RD', 'SEDGWICK AV/HARLEM RIVER BRIDGE', 'UNDERCLIFF AV/SEDGWICK AV', 'E 170 ST/WALTON AV', 'MACOMBS RD/GRAND AV', 'E 170 ST/JEROME AV', 'SEDGWICK AV/W 174 ST', 'UNDERCLIFF AV/W 174 ST', 'SEDGWICK AV/W TREMONT AV', 'E 170 ST/GRAND CONCOURSE', 'MACOMBS RD/W 176 ST', 'W TREMONT AV/LORING PL S', 'UNDERCLIFF AV/W 176 ST', 'UNDERCLIFF AV/W 172 ST', 'W TREMONT AV/UNIVERSITY AV']",19
Bx19,0,RIVERBANK ST PK/CULTURAL CTR,40.826702,-73.955475,BRONX PK via 149 ST via SOUTHRN,40.861202,-73.880676,"['SOUTHERN BL/E 187 ST', 'W 145 ST/CONVENT AV', 'SOUTHERN BL/FREEMAN ST', 'SOUTHERN BL/E 173 ST', 'SOUTHERN BL/TIFFANY ST', 'SOUTHERN BL/BOSTON RD', 'W 145 ST/RIVERSIDE DR', 'E 149 ST/WALES AV', 'E 149 ST/TRINITY AV', 'E 149 ST/JACKSON AV', 'W 145 ST/ST NICHOLAS AV', 'SOUTHERN BL/E TREMONT AV', 'E 149 ST/BROOK AV', 'E 149 ST/BERGEN AV', 'SOUTHERN BL/E 180 ST', 'SOUTHERN BL/ALDUS ST', 'E 149 ST/MORRIS AV', 'SOUTHERN BL/HOME ST', 'E 149 ST/COURTLANDT AV', 'SOUTHERN BL/HUNTS POINT AV', 'SOUTHERN BL/E 176 ST', 'SOUTHERN BL/JENNINGS ST', 'SOUTHERN BL/E 172 ST', 'W 145 ST/MALCOLM X BL', 'SOUTHERN BL/AV SAINT JOHN', 'SOUTHERN BL/E 149 ST', 'SOUTHERN BL/BOTANICAL GARDENS', 'SOUTHERN BL/E 189 ST', 'W 145 ST/FRED DOUGLASS BL', 'SOUTHERN BL/E 156 ST', 'SOUTHERN BL/WESTCHESTER AV', 'E 149 ST/GRAND CONCOURSE', 'SOUTHERN BL/E 183 ST', 'W 145 ST/AMSTERDAM AV', 'SOUTHERN BL/BRONX PK S', 'SOUTHERN BL/LEGGETT AV', 'RIVERBANK ST PK/CULTURAL CTR', ""E 149 ST/ST ANN'S AV"", 'E 149 ST/EXTERIOR ST', 'W 145 ST/BROADWAY', 'SOUTHERN BL/LONGWOOD AV', 'W 145 ST/ADAM C POWELL BL']",42
Bx19,1,SOUTHERN BL/BOTANICAL GARDENS,40.861149,-73.881012,RIVRBNK PK via SOUTHRN via 149 ST,40.826771,-73.955414,"['SOUTHERN BL/E 187 ST', 'W 145 ST/CONVENT AV', 'SOUTHERN BL/FREEMAN ST', 'SOUTHERN BL/E 163 ST', 'SOUTHERN BL/E 173 ST', 'SOUTHERN BL/TIFFANY ST', 'E 149 ST/MELROSE AV', 'W 145 ST/RIVERSIDE DR', 'E 149 ST/TRINITY AV', 'W 145 ST/ST NICHOLAS AV', 'SOUTHERN BL/E TREMONT AV', 'SOUTHERN BL/ALDUS ST', 'E 149 ST/BROOK AV', 'SOUTHERN BL/E 180 ST', 'E 149 ST/MORRIS AV', 'SOUTHERN BL/HOME ST', 'E 149 ST/COURTLANDT AV', 'SOUTHERN BL/E 179 ST', 'E 149 ST/GERARD AV', 'SOUTHERN BL/AV ST. JOHN', 'SOUTHERN BL/JENNINGS ST', 'SOUTHERN BL/FAIRMONT PL', 'SOUTHERN BL/E 172 ST', 'W 145 ST/MALCOLM X BL', 'E 149 ST/CONCORD AV', 'E 149 ST/ST ANNS AV', 'SOUTHERN BL/BOTANICAL GARDENS', 'W 145 ST/FRED DOUGLASS BL', 'SOUTHERN BL/E 156 ST', 'E 149 ST/SOUTHERN BL', 'SOUTHERN BL/WESTCHESTER AV', 'E 149 ST/PROSPECT AV', 'E 149 ST/GRAND CONCOURSE', 'SOUTHERN BL/E 183 ST', 'W 145 ST/AMSTERDAM AV', 'SOUTHERN BL/E 174 ST', 'SOUTHERN BL/LEGGETT AV', 'RIVERBANK ST PK/CULTURAL CTR', 'SOUTHERN BL/E FORDHAM RD', 'E 149 ST/TINTON AV', 'W 145 ST/BROADWAY', 'SOUTHERN BL/E 182 ST', 'SOUTHERN BL/LONGWOOD AV', 'SOUTHERN BL/E 167 ST', 'W 145 ST/ADAM C POWELL BL']",45
Bx2,0,LINCOLN AV/E 137 ST,40.809616,-73.928276,KNGSBRDG HTS FT INDEP ST via CONCOURSE,40.878746,-73.898033,"['GRAND CONCOURSE/MT EDEN AV', 'GRAND CONCOURSE/E 198 ST', 'GRAND CONCOURSE/E 206 ST', 'GRAND CONCOURSE/E 149 ST', 'E 149 ST/MELROSE AV', 'LINCOLN AV/E 137 ST', 'SEDGWICK AV/HILLMAN AV', 'GRAND CONCOURSE/E 203 ST', 'GRAND CONCOURSE/E 169 ST', 'E 149 ST/MORRIS AV', 'GRAND CONCOURSE/E TREMONT AV', 'E 149 ST/COURTLANDT AV', 'HEATH AV/SUMMIT PL', 'GRAND CONCOURSE/E 161 ST', 'GRAND CONCOURSE/E 196 ST', 'GRAND CONCOURSE/E 179 ST', 'GRAND CONCOURSE/E 167 ST', 'GRAND CONCOURSE/E 182 ST', 'GRAND CONCOURSE/E 187 ST', 'GRAND CONCOURSE/E FORDHAM RD', 'GRAND CONCOURSE/E 165 ST', 'SEDGWICK AV/FT INDEPENDENCE ST', 'W 231 ST/BROADWAY', 'GRAND CONCOURSE/E BURNSIDE AV', '3 AV/E 140 ST', 'SEDGWICK AV/DICKINSON AV', 'RIVERDALE AV/W 231 ST', 'W MOSHOLU PY S/PAUL AV', 'W 231 ST/TIBBETT AV', 'GRAND CONCOURSE/MC CLELLAN ST', 'GRAND CONCOURSE/CROSS BX EXP OVERPASS', 'E MOSHOLU PY S/JEROME AV', 'GRAND CONCOURSE/E 156 ST', 'GRAND CONCOURSE/BEDFORD PK BL', 'ALBANY CR/BAILEY AV', '3 AV/E 144 ST', 'SEDGWICK AV/VAN CORTLANDT AV W', 'GRAND CONCOURSE/E 163 ST', 'GRAND CONCOURSE/E KINGSBRIDGE RD', 'SEDGWICK AV/STEVENSON PL', 'SEDGWICK AV/GILES PL', 'W 231 ST/BAILEY AV', 'GRAND CONCOURSE/E 175 ST', 'GRAND CONCOURSE/E 172 ST', 'GRAND CONCOURSE/E MOSHOLU PY S', 'GRAND CONCOURSE/E 153 ST', 'GRAND CONCOURSE/E 180 ST', 'GRAND CONCOURSE/E 170 ST', 'GRAND CONCOURSE/FIELD PL', 'W 231 ST/KINGSBRIDGE AV']",50
Bx2,1,SEDGWICK AV/FT INDEPENDENCE ST,40.878632,-73.897751,MOTT HAVEN 136 ST via CONCOURSE,40.809654,-73.92836,"['SEDGWICK AV/STEVENSON PL 2', 'GRAND CONCOURSE/E 181 ST', 'GRAND CONCOURSE/E 192 ST', 'LINCOLN AV/E 137 ST', 'GRAND CONCOURSE/E MT EDEN AV', 'GRAND CONCOURSE/E 204 ST', 'W 231 ST/CORLEAR AV', 'E 149 ST/MORRIS AV', 'HEATH AV/SUMMIT PL', 'E 149 ST/COURTLANDT AV', 'GRAND CONCOURSE/MINERVA PL', 'GRAND CONCOURSE/E 161 ST', 'GRAND CONCOURSE/E 196 ST', '3 AV/E 142 ST', 'GRAND CONCOURSE/E 177 ST', 'GRAND CONCOURSE/E 179 ST', 'GRAND CONCOURSE/E 167 ST', 'GRAND CONCOURSE/E 174 ST', 'GRAND CONCOURSE/E 182 ST', 'GRAND CONCOURSE/MORRIS AV', 'GRAND CONCOURSE/E 187 ST', 'SEDGWICK AV/STEVENSON PL 1', 'GRAND CONCOURSE/E 158 ST', 'GRAND CONCOURSE/E 165 ST', 'SEDGWICK AV/FT INDEPENDENCE ST', 'W 231 ST/BROADWAY', 'HEATH AV/ALBANY CRES', 'GRAND CONCOURSE/E BURNSIDE AV', '3 AV/E 140 ST', 'RIVERDALE AV/W 231 ST', 'SEDGWICK AV/DICKINSON AV', 'W MOSHOLU PY S/PAUL AV', 'E 136 ST/LINCOLN AV', 'GRAND CONCOURSE/MC CLELLAN ST', 'GRAND CONCOURSE/VAN CORTLANDT AV E', 'GRAND CONCOURSE/E 156 ST', 'GRAND CONCOURSE/BEDFORD PK BL', 'E 149 ST/GRAND CONCOURSE', '3 AV/E 144 ST', 'W MOSHOLU PY S/JEROME AV', 'GRAND CONCOURSE/E KINGSBRIDGE RD', 'SEDGWICK AV/GILES PL', 'GRAND CONCOURSE/E 163 ST', 'W 231 ST/BAILEY AV', 'GRAND CONCOURSE/E 172 ST', 'GRAND CONCOURSE/E 153 ST', 'GRAND CONCOURSE/E CLARKE PL', '3 AV/E 138 ST', 'GRAND CONCOURSE/E FORDHAM RD', 'GRAND CONCOURSE/E 170 ST', 'GRAND CONCOURSE/FIELD PL']",51
Bx20,0,BROADWAY/ISHAM ST,40.868145,-73.919411,RIVERDALE 246 ST,40.893486,-73.907921,"['KAPPOCK ST/JOHNSON AV', 'HENRY HUDSON PKY E/W 235 ST', 'BROADWAY/W 225 ST', 'BROADWAY/W 215 ST', 'HENRY HUDSON PKY E/W 232 ST', 'BROADWAY/W 228 ST', 'HENRY HUDSON PKY W/W 246 ST', 'BROADWAY/ISHAM ST', 'IRWIN AV/JOHNSON AV', 'W 231 ST/BROADWAY', 'KAPPOCK ST/KNOLLS CRES', 'BROADWAY/W 219 ST', 'W 231 ST/TIBBETT AV', 'BROADWAY/EXTERIOR ST', 'BROADWAY/W 213 ST', 'HENRY HUDSON PKY E/W 238 ST', 'HENRY HUDSON PKY E/W 246 ST', 'HENRY HUDSON PKY E/W 227 ST', 'HENRY HUDSON PKY E/W 239 ST', 'BROADWAY/W 218 ST', 'W 231 ST/KINGSBRIDGE AV']",21
Bx20,1,HENRY HUDSON PKY W/W 246 ST,40.893269,-73.908615,INWOOD 207 ST,40.867867,-73.920403,"['KAPPOCK ST/JOHNSON AV', 'HENRY HUDSON PKY/2735 HENRY HUDSON PKY', 'HENRY HUDSON PKY W/W 239 ST', 'W 231 ST/CORLEAR AV', 'W 230 ST/BROADWAY', 'BROADWAY/W 225 ST', 'BROADWAY/W 215 ST', 'HENRY HUDSON PKY W/INDEPENDENCE AV', 'BROADWAY/W 228 ST', 'HENRY HUDSON PKY W/W 246 ST', 'BROADWAY/ISHAM ST', 'IRWIN AV/JOHNSON AV', 'HENRY HUDSON PKY W/W 236 ST', 'KAPPOCK ST/KNOLLS CRES', 'INDEPENDENCE AV/W 237 ST', 'HENRY HUDSON PKY W/W 232 ST', 'BROADWAY/W 220 ST', 'BROADWAY/W 207 ST', 'KINGSBRIDGE AV/W 230 ST', 'HENRY HUDSON PKY W/W 227 ST', 'BROADWAY/W 213 ST', 'HENRY HUDSON PKY W/W 237 ST', 'BROADWAY/W 218 ST', 'W 231 ST/RIVERDALE AV']",24
Bx21,0,LINCOLN AV/E 138 ST,40.810955,-73.927139,WESTCHESTER SQ,40.839817,-73.84314,"['3 AV/E 152 ST', 'BOSTON RD/E 169 ST', '3 AV/E 163 ST', 'MORRIS PK AV/VAN BUREN ST', 'BOSTON RD/SOUTHERN BL', 'BOSTON RD/PROSPECT AV', 'BOSTON RD/E TREMONT AV', 'WESTCHESTER AV/BENSON AV', 'BOSTON RD/E 165 ST', '3 AV/E 157 ST', 'BOSTON RD/HOME ST', 'LINCOLN AV/E 137 ST', '3 AV/E 158 ST', 'BRONX STATE/BUS SHELTER', 'MORRIS PK AV/EASTCHESTER RD', 'EASTCHESTER RD/SACKETT AV', 'MORRIS PK AV/RADCLIFF AV', 'MORRIS PK AV/HONE AV', 'MORRIS PK AV/UNIONPORT RD', 'MORRIS PK AV/ADAMS ST', 'MORRIS PK AV/E TREMONT AV', 'E TREMONT AV/E 177 ST', 'E TREMONT AV/BRONX PARK AV', 'BOSTON RD/E 166 ST', 'BOSTON RD/VYSE AV', 'WESTCHESTER AV/BENSON ST', 'WESTCHESTER AV/LANE  AV', '3 AV/E 140 ST', 'WATERS PL/EASTCHESTER RD', 'LINCOLN AV/E 138 ST', 'MORRIS PK AV/WHITE PLAINS RD', 'MORRIS PK AV/BARNES AV', 'MORRIS PK AV/SEMINOLE AV', 'MORRIS PK AV/TAYLOR AV', 'MORRIS PK AV/WILLIAMSBRIDGE RD', '3 AV/E 153 ST', 'BOSTON RD/SEABURY PL', '3 AV/WESTCHESTER AV', '3 AV/E 144 ST', 'BOSTON RD/E 168 ST', 'BOSTON RD/LOUIS NINE BL', 'MORRIS PK AV/BRONXDALE AV', 'BOSTON RD/UNION AV', '3 AV/E 149 ST', '3 AV/E 161 ST', 'WATERS PL/FINK AV']",46
Bx21,1,WESTCHESTER AV/LANE  AV,40.839741,-73.843201,MOTT HAVEN 136 ST,40.809654,-73.92836,"['BOSTON RD/E 165 ST', 'BOSTON RD/E 169 ST', '3 AV/E 163 ST', 'BOSTON RD/PROSPECT AV', 'BOSTON RD/SOUTHERN BL', 'EASTCHESTER RD/IVES ST', 'BOSTON RD/CROTONA AV', 'MORRIS PK AV/E 180 ST', 'LINCOLN AV/E 137 ST', '3 AV/E 158 ST', 'BRONX STATE/BUS SHELTER', 'MORRIS PK AV/EASTCHESTER RD', 'MORRIS PK AV/RADCLIFF AV', 'E TREMONT AV/BOSTON RD', 'MORRIS PK AV/HONE AV', 'BOSTON RD/E TREMONT AV F/S', '3 AV/E 142 ST', 'BOSTON RD/E 166 ST', 'BOSTON RD/VYSE AV', 'WESTCHESTER AV/LANE  AV', '3 AV/E 140 ST', 'MORRIS PK AV/MELVILLE ST', 'E 136 ST/LINCOLN AV', 'LINCOLN AV/E 138 ST', 'MORRIS PK AV/WHITE PLAINS RD', 'MORRIS PK AV/SEMINOLE AV', 'MORRIS PK AV/BARNES AV', 'MORRIS PK AV/WILLIAMSBRIDGE RD', 'BOSTON RD/E 173 ST', '3 AV/E 150 ST', 'WATERS PL/HUTCHINSON RVR PKWY', 'EASTCHESTER RD/WATERS PL', '3 AV/E 154 ST', 'BOSTON RD/E 168 ST', '3 AV/E 148 ST', '3 AV/E 144 ST', 'E TREMONT AV/MORRIS PK AV', 'E TREMONT AV/DEVOE AV', 'BOSTON RD/LOUIS NINE BL', 'MORRIS PK AV/DELANCEY PL', '3 AV/E 156 ST', 'MORRIS PK AV/AMETHYST ST', '3 AV/E 138 ST', '3 AV/E 161 ST', 'EASTCHESTER RD/BASSETT AV']",45
Bx22,0,CASTLE HILL AV/NORTON AV,40.814728,-73.846916,FORDHAM CENTER - VALENTINE AV,40.862503,-73.895798,"['CASTLE HILL AV/LACOMBE AV', 'GOULDEN AV/RESERVOIR AV', 'E FORDHAM RD/HOFFMAN ST', 'WHITE PLAINS RD/RHINELANDER AV', 'STARLING AV/PURDY ST', 'E FORDHAM RD/CAMBERLENG AV', 'E KINGSBRIDGE RD/E 192 ST', 'VALENTINE AV/E FORDHAM RD', 'UNIONPORT RD/METROPOLITAN AV', 'E FORDHAM RD/THIRD AV', 'E FORDHAM RD/BATHGATE AV', 'VALENTINE AV/FORDHAM RD', 'E KINGSBRIDGE RD/GRAND CONCOURSE', 'CASTLE HILL AV/NORTON AV', 'CASTLE HILL AV/LAFAYETTE AV', 'GOULDEN AV/BEDFORD PK BL', 'WHITE PLAINS RD/VAN NEST AV', 'E FORDHAM RD/DECATUR AV', 'UNIONPORT RD/E TREMONT AV', 'BRONX PARK E/BRADY AV', 'CASTLE HILL AV/WESTCHESTER AV', 'CASTLE HILL AV/RANDALL AV', 'RESERVOIR AV/W 195 ST', 'BRONX PARK E/LYDIG AV', 'E KINGSBRIDGE RD/MORRIS AV', 'UNIONPORT RD/STARLING AV', 'CASTLE HILL AV/SEWARD AV', 'CASTLE HILL AV/GLEASON AV', 'W 205 ST/PAUL AV', 'CASTLE HILL AV/QUIMBY AV', 'BOSTON RD/PELHAM PKY', 'BRONX PARK E/PELHAM PY', 'AILEEN RYAN OVAL/METROPOLITAN AV', 'WHITE PLAINS RD/BRONXDALE AV', 'CASTLE HILL AV/BRUCKNER BL', 'CASTLE HILL AV/WATSON AV', 'WHITE PLAINS RD/BIRCHALL AV', 'E FORDHAM RD/SOUTHERN BL', 'WHITE PLAINS RD/MORRIS PK AV', 'STARLING AV/UNIONPORT RD', 'CASTLE HILL AV/CROSS BX SVC RD N']",41
